MakeName,ModelName,CustomerName,CountryName,Cost,RepairsCost,PartsCost,TransportInCost,SalePrice,saledate
Aston Martin,DB9,Honest Pete Motors,United Kingdom,37200,2000,750,550,46500,2016-12-02 12:00:00
Aston Martin,Virage,Honest Pete Motors,United Kingdom,100400,3950,1500,1950,125500,2016-12-02 12:00:00
Bentley,Flying Spur,Vive La Vitesse,France,79600,2175,750,750,99500,2016-06-15 12:00:00
Bentley,Flying Spur,Glitz,Germany,52712,1490,1500,750,65890,2016-02-17 12:00:00
Bentley,Flying Spur,Prestige Imports,Spain,63600,2000,1500,750,79500,2016-07-26 12:00:00
Bentley,Arnage,Executive Motor Delight,United Kingdom,68520,2175,750,750,85650,2016-10-30 12:00:00
Bentley,Brooklands,Liverpool Executive Prestige Vehicles,United Kingdom,79600,2175,750,750,99500,2016-12-28 12:00:00
Bentley,Arnage,Stan Collywobble,United Kingdom,61200,2175,750,750,76500,2016-10-05 12:00:00
Bentley,Continental,Silver HubCaps,United Kingdom,45560,2000,750,550,56950,2016-01-22 12:00:00
Bentley,Flying Spur,Silver HubCaps,United Kingdom,61200,2000,750,750,76500,2016-08-21 12:00:00
Bentley,Flying Spur,Screamin' Wheels,United States,73720,2175,750,750,92150,2016-08-25 12:00:00
Rolls Royce,Ghost,La Bagnole de Luxe,France,48400,500,1500,550,60500,2016-12-06 12:00:00
Rolls Royce,Phantom,Prestissimo!,Italy,79600,1490,750,750,99500,2016-12-06 12:00:00
Rolls Royce,Phantom,Prestige Imports,Spain,95680,1490,2200,750,119600,2016-10-05 12:00:00
Alfa Romeo,Giulia,M. Pierre Dubois,France,2040,500,750,150,2550,2016-01-07 12:00:00
Alfa Romeo,Giulia,Glitz,Germany,4800,500,750,150,6000,2016-02-17 12:00:00
Alfa Romeo,Giulia,Silver HubCaps,United Kingdom,14000,1360,750,150,17500,2016-04-30 12:00:00
Alfa Romeo,Spider,Wonderland Wheels,United Kingdom,10000,500,750,150,12500,2016-04-30 12:00:00
Alfa Romeo,Giulia,Jason B. Wight,United States,10000,500,750,150,12500,2016-07-06 12:00:00
Jaguar,XJ12,M. Pierre Dubois,France,2860,500,750,150,3575,2016-09-14 12:00:00
Jaguar,XK120,La Bagnole de Luxe,France,15680,1360,750,150,19600,2016-09-16 12:00:00
Jaguar,XK150,Vive La Vitesse,France,23720,660,750,150,29650,2016-06-15 12:00:00
Jaguar,XK120,La Bagnole de Luxe,France,22312,970,500,150,27890,2016-09-16 12:00:00
Jaguar,XK120,SuperSport S.A.R.L.,France,79600,2000,750,750,99500,2016-08-09 12:00:00
Jaguar,XK120,Peter Smith,United Kingdom,28000,500,750,550,35000,2016-06-15 12:00:00
Jaguar,E-Type,Alexei Tolstoi,United Kingdom,31600,2000,750,550,39500,2016-05-30 12:00:00
Jaguar,XJS,Alexei Tolstoi,United Kingdom,7960,500,750,150,9950,2016-05-30 12:00:00
Jaguar,XJ12,Glittering Prize Cars Ltd,United Kingdom,28200,500,750,550,35250,2016-09-14 12:00:00
Triumph,TR4,M. Pierre Dubois,France,4400,500,750,150,5500,2016-06-15 12:00:00
Triumph,TR4,Prestissimo!,Italy,11672,500,750,150,14590,2016-07-26 12:00:00
Triumph,TR6,Prestissimo!,Italy,7960,500,750,150,9950,2016-08-28 12:00:00
Triumph,TR5,Prestige Imports,Spain,10200,970,750,150,12750,2016-08-02 12:00:00
Triumph,TR6,Alicia Almodovar,Spain,10000,500,750,150,12500,2016-10-30 12:00:00
Triumph,TR7,Executive Motor Delight,United Kingdom,7960,500,750,150,9950,2016-10-30 12:00:00
Triumph,TR7,Honest Pete Motors,United Kingdom,7600,500,750,150,9500,2016-12-02 12:00:00
Triumph,TR5,Honest Pete Motors,United Kingdom,5240,500,750,150,6550,2016-09-19 12:00:00
Triumph,TR6,Honest Pete Motors,United Kingdom,7992,500,750,150,9990,2016-12-02 12:00:00
Triumph,TR5,King Leer Cars,United Kingdom,4544,500,750,150,5680,2016-08-29 12:00:00
Triumph,TR6,Silver HubCaps,United Kingdom,5200,500,750,150,6500,2016-08-02 12:00:00
Triumph,GT6,Alexei Tolstoi,United Kingdom,2800,500,750,150,3500,2016-09-04 12:00:00
